"Section","Test","Android Emulator 4.4.2","Notes"
"Stage","Drag characters around stage","PASS",
"Stage","Press and hold character and delete","PASS",
"Icons above stage","Home saves project","PASS",
"Icons above stage","Home returns to project library","PASS",
"Icons above stage","Presentation Mode expands to full-screen","PASS",
"Icons above stage","Can return back to project page from presentation mode","PASS",
"Icons above stage","Grid toggles on x-y coordinate grid","PASS",
"Icons above stage","Grid toggles off x-y coordinate grid","PASS",
"Icons above stage","Change background goes to background library","PASS",
"Icons above stage","Can return back to project page from background library","PASS",
"Icons above stage","Text editor allows adding text to stage","PASS",
"Icons above stage","Can change text size in text editor","PASS",
"Icons above stage","Can change color in text editor","PASS",
"Icons above stage","Text can be dragged around stage","PASS",
"Icons above stage","Reset resets all characters to their starting positions on stage.","PASS",
"Icons above stage","Tapping reset stops any script.","PASS",
"Icons above stage","Dragging characters after reset sets up new starting positions","PASS",
"Icons above stage","Green flag starts all scripts that begin with a “Start on Green Flag”","PASS",
"Icons above stage","Folded corner in top-right takes you to change title screen","PASS",
"Icons above stage","Change title screen allows you to change the title of the project and save it","PASS",
"Programming blocks","Can drag a block to programming area","PASS",
"Programming blocks","Connecting two blocks works","PASS",
"Programming blocks","Breaking apart two blocks works","PASS",
"Programming blocks","Repeat block connects in the right place","PASS",
"Programming blocks","All six block categories can be selected","PASS",
"Programming blocks","Numerical input feature works (type, delete)","PASS",
"Programming blocks","Negative numbers can be input and work","PASS",
"Programming blocks","Triggering: Green flag block works","PASS",
"Programming blocks","Triggering: Tap block works","PASS",
"Programming blocks","Triggering: Touch block works","PASS",
"Programming blocks","Triggering: Start on message block works","PASS",
"Programming blocks","Triggering: Send message works","PASS",
"Programming blocks","Motion: Move left 1 works","PASS",
"Programming blocks","Motion: Move left 2 works","PASS",
"Programming blocks","Motion: Move left -3 works","PASS",
"Programming blocks","Motion: Move right 1 works","PASS",
"Programming blocks","Motion: Move right 2 works","PASS",
"Programming blocks","Motion: Move right -3 works","PASS",
"Programming blocks","Motion: Move up 1 works","PASS",
"Programming blocks","Motion: Move up 2 works","PASS",
"Programming blocks","Motion: Move up -3 works","PASS",
"Programming blocks","Motion: Move down 1 works","PASS",
"Programming blocks","Motion: Move down 2 works","PASS",
"Programming blocks","Motion: Move down -3 works","PASS",
"Programming blocks","Motion: Turn left 1 works","PASS",
"Programming blocks","Motion: Turn left 2 works","PASS",
"Programming blocks","Motion: Turn left -3 works","PASS",
"Programming blocks","Motion: Turn right 1 works","PASS",
"Programming blocks","Motion: Turn right 2 works","PASS",
"Programming blocks","Motion: Turn right -3 works","PASS",
"Programming blocks","Motion: Hop 1 works","PASS",
"Programming blocks","Motion: Hop 2 works","PASS",
"Programming blocks","Motion: Hop -3 works","PASS",
"Programming blocks","Motion: Go Home works","PASS",
"Programming blocks","Looks: Grow 1 works","PASS",
"Programming blocks","Looks: Grow 2 works","PASS",
"Programming blocks","Looks: Grow -3 works","PASS",
"Programming blocks","Looks: Shrink 1 works","PASS",
"Programming blocks","Looks: Shrink 2 works","PASS",
"Programming blocks","Looks: Shrink -3 works","PASS",
"Programming blocks","Looks: Default size works","PASS",
"Programming blocks","Looks: Hide works","PASS",
"Programming blocks","Looks: Show works","PASS",
"Programming blocks","Looks: Speech bubble works","FAIL","Text box is not visible when keyboard pops up"
"Programming blocks","Sounds: Record sound allows user to record sound",,
"Programming blocks","Sounds: Sound limit is up to 1 minute in sound editor","PASS",
"Programming blocks","Sounds: Can play back recorded sound in sound editor",,
"Programming blocks","Sounds: Sound editor saves on close",,
"Programming blocks","Sounds: Dragging play recorded sound block onto programming area plays",,
"Programming blocks","Sounds: Pre-set “pop” sound works","PASS",
"Programming blocks","Sounds: Possible for user to disable microphone","FAIL","Not possible in this build"
"Programming blocks","Sounds: Can play back recorded sound in sound editor",,
"Programming blocks","Control: Wait for block waits indicated time","PASS",
"Programming blocks","Control: Stop block works","PASS",
"Programming blocks","Control: Slow speed works","PASS",
"Programming blocks","Control: Medium speed works","PASS",
"Programming blocks","Control: Fast speed works","PASS",
"Programming blocks","Control: Repeat 1 works","PASS",
"Programming blocks","Control: Repeat 3 works","PASS",
"Programming blocks","End Blocks: End block works (NOP)","PASS",
"Programming blocks","End Blocks: Repeat block works","PASS",
"Programming blocks","End Blocks: Jump to page works","PASS",
"Programming blocks","Undo reverses a block creation","PASS",
"Programming blocks","Redo reverses a block cration undo","PASS",
"Programming blocks","Undo reverses a changed value","PASS",
"Programming blocks","Redo reverses a changed value undo","PASS",
"Programming blocks","Undo reverses a character creation","PASS",
"Programming blocks","Redo reverses a character creation undo","PASS",
"Programming blocks","Undo reverses a character deletion","PASS",
"Programming blocks","Redo reverses a character deletion undo","PASS",
"Programming blocks","Undo reverses a page creation","PASS",
"Programming blocks","Redo reverses a page creation undo","PASS",
"Programming blocks","Undo reverses a page deletion","PASS",
"Programming blocks","Redo reverses a page deletion undo","PASS",
"Thumbnails","Tapping a character thumbnail selects the character","PASS",
